company_name,step_number,channel,day,subject,body,internal_notes
Aryel,1,Email,1,WebAR's next challenge: scale,"50k+ marketers trust your platform—how's the post-launch integration velocity looking? Just saw your 3D rendering expansion. With competition heating up, teams often struggle keeping feature releases aligned with user onboarding. Quick question: what's your biggest scaling bottleneck right now?",Use first_line from hooks as opener. Bridge to platform expansion and competitive pressure. CTA is a low-commitment question.
Aryel,2,LinkedIn Connection,3,Connection request,"Sent you a note about your WebAR platform growth and 3D rendering capabilities. Impressed by your 50k+ user base and the velocity of your feature releases.","Reference email without being pushy. Max 300 chars. No CTA. Match technical communication style."
Aryel,3,Email,5,When 50k users all expect feature parity,"Here's what we're seeing with AR SaaS scaling: teams spend 6+ weeks managing feature requests across user segments. Your 3D rendering launch shows you're committed to staying ahead. But managing user expectations across that scale is brutal. Can you spare 15 mins Thursday for a brief chat?",NEW angle: user expectation management at scale (different from step 1). Include stat. Specific + time-bound CTA.
Aryel,4,LinkedIn Comment,8,LinkedIn comment engagement,"Monitor feed for engagement opportunity—look for recent posts from Aryel or team members about platform launches, WebAR trends, or product updates. Engage with genuine insight about scaling complexity.","If they have recent posts about product launches or user growth, comment with: ""Scaling to 50k+ users while launching new features like 3D rendering is the real challenge. Most teams we work with spend weeks just managing feature request triage. Have you found a system that works?"""
Aryel,5,Email,12,The trap: more features, same runway,"Quick thought: every feature you launch pulls engineering resources. You're managing 50k+ marketers expecting constant innovation while keeping infrastructure costs reasonable. What if revenue-per-user was growing faster than user count? Send me one metric you'd love to optimize.","Pattern interrupt: short question focused on revenue efficiency. Different pain point (budget/revenue) than steps 1 and 3. Max 80 words."
Aryel,6,Email,17,Staying in touch,"I've reached out a few times, and I'm guessing the timing just isn't right—totally understand. Here's one more thought: as you scale WebAR tooling, staying ahead of competitive clones gets harder. Happy to reconnect when you're exploring ways to differentiate faster.","Breakup email. Final value (competitive differentiation insight). Low-pressure CTA acknowledging previous outreach. Respectful tone."
Aryel,7,LinkedIn Voice Note,21,"Hey Aryel team—quick thought. Loved what you've built with WebAR and your 50k+ user base. Scaling platform features while keeping users happy is no joke. If you ever want to chat about managing feature velocity without burning out the team, happy to connect. Cheers.","30-second script. Casual, human tone. Reference the value shared (scaling platform features) and offer open door without hard ask."
ColdIQ,1,Email,1,From $250k to $500k—what's next?,"$250k MRR bootstrapped is exceptional—but what's blocking your path to $500k monthly? You and your team are clearly executing at scale. Most founders at your stage struggle with one thing: scaling ops to match revenue velocity. Quick question: where's the team stretched thinnest right now?",Use first_line from hooks. Bridge to ops scaling challenge. CTA is a low-commitment question about bottleneck.
ColdIQ,2,LinkedIn Connection,3,Connection request,"Saw your growth posts on LinkedIn—$250k MRR is impressive. Sent you an email about the scaling challenges most bootstrapped teams hit. Let's connect.","Reference email lightly. Max 300 chars. No CTA. Casual tone to match communication style."
ColdIQ,3,Email,5,Why bootstrapped SaaS stall at $500k,"Here's the pattern: bootstrapped founders hit $250-300k MRR then spend 3+ months hiring/training instead of closing deals. Your AI/ML stack is solid—most teams like yours struggle moving faster on GTM execution, not tech. Would 15 mins this Thursday help clarify your hiring roadmap?",NEW angle: GTM execution and hiring efficiency (different from step 1). Include stat. Specific + time-bound CTA.
ColdIQ,4,LinkedIn Comment,8,LinkedIn comment engagement,"Monitor feed for engagement opportunity—look for recent posts from ColdIQ leadership (CEO/COO) about hiring, growth metrics, or company updates. Engage with insider knowledge about bootstrapped scaling.","If they post about hiring or scaling: ""Most bootstrapped teams I work with hire sales and ops roles at the same time—makes culture harder to maintain. How are you managing that balance at 9 people?"""
ColdIQ,5,Email,12,What if you could hire faster?,"Here's a contrarian take: instead of waiting for perfect hires, what if you brought on people 3 months earlier and coached them up? Your CEO publicly targets $500k/month. Accelerating hiring velocity is usually the gap. If you'd run the numbers with someone, I'm here.","Pattern interrupt: contrarian approach to hiring. Different pain point (hiring velocity) than steps 1 and 3. Max 80 words."
ColdIQ,6,Email,17,No hard feelings,"I've sent a few notes your way—clearly the timing isn't clicking. Here's the real talk: most bootstrapped teams moving from $250k to $500k MRR need a sounding board for ops scaling. No pressure if now isn't it. Happy to reconnect when growth hits the next milestone.","Breakup email. Acknowledge previous outreach. Low-pressure CTA. Casual tone matching company style."
ColdIQ,7,LinkedIn Voice Note,21,"Hey ColdIQ crew—quick note. I've been watching your growth trajectory. $250k MRR to $500k is a big jump, and scaling ops while staying scrappy is tough. If you ever want a thought partner on hiring or GTM strategy, I'm a message away. Keep crushing it.","30-second script. Casual, human tone matching ColdIQ's informal style. Reference the challenge (ops scaling) and offer support without hard ask."
Conductor,1,Email,1,Claude Code + Mac app launch: timing?,"Engineers at Linear and Vercel are building in Conductor—what's your biggest scaling bottleneck? Your Mac app just launched and Windows is next. With founder-led growth this fast, most teams hit one wall: backend infrastructure. Quick question: what's taking 80% of your engineering bandwidth?",Use first_line from hooks as opener. Bridge to platform scaling. CTA is a low-commitment question.
Conductor,2,LinkedIn Connection,3,Connection request,"Sent you a note about your Mac launch and the engineering momentum at Linear/Vercel. Impressed by the pace you're moving. Let's connect.","Reference email lightly. Max 300 chars. No CTA. Technical tone to match communication style."
Conductor,3,Email,5,Multi-platform complexity: how to avoid it,"Here's what we see with YC dev tools: 60% of scaling friction comes from maintaining feature parity across Mac, Windows, and Git integration. Your engineers at Stripe/Vercel are pushing you hard on compatibility. Does your team have bandwidth for this, or is it the bottleneck? 15 mins this Thursday?",NEW angle: multi-platform complexity and feature parity (different from step 1). Include stat. Specific + time-bound CTA.
Conductor,4,LinkedIn Comment,8,LinkedIn comment engagement,"Monitor feed for engagement opportunity—look for recent posts about product launches, technical improvements, or team hiring. Engage with technical depth about platform challenges.","If they post about Mac launch or platform updates: ""Multi-platform parity is the real grind with Electron + TypeScript. Are you finding that one platform always lags behind your roadmap?"""
Conductor,5,Email,12,Competing at your scale against IDE giants,"Quick question: as you scale Conductor, how are you thinking about the IDE moat? Larger tools have unlimited engineering. Your edge is speed and Claude Code integration. What keeps you up at night: hiring founding engineers or maintaining your technical moat?","Pattern interrupt: contrarian angle on competitive positioning. Different pain point (competitive moat) than steps 1 and 3. Max 80 words."
Conductor,6,Email,17,Respect your time,"I've reached out a few times, and I get it—you're in hypergrowth mode. One last thought: most dev tools shipping multi-platform features struggle with backend scalability, not just frontend. If you hit that wall, I'm here to help. No pressure at all.","Breakup email. Acknowledge previous outreach respectfully. Low-pressure CTA. Technical tone."
Conductor,7,LinkedIn Voice Note,21,"Hey Conductor team—quick note. Mac app launch looks solid, and watching your founder momentum is impressive. Building multi-platform dev tools while keeping engineers at Linear and Vercel happy is no small task. If you ever want to talk about scaling infrastructure without slowing down shipping, reach out.","30-second script. Technical tone but conversational. Reference the challenge (multi-platform shipping) and offer support."
TrueMed,1,Email,1,Nike Strength goes live—what's next?,"Nike Strength is live on your platform—how's the post-Series A integration velocity looking? You just closed $34M from a16z and BVP. Scaling payment processing for multiple wellness brands at once is complex; most teams struggle keeping HSA/FSA compliance tight while onboarding fast. What's your biggest bottleneck?",Use first_line from hooks as opener. Bridge to integration velocity post-funding. CTA is a low-commitment question.
TrueMed,2,LinkedIn Connection,3,Connection request,"Saw your Nike Strength launch and the $34M Series A close in December. Sent you an email about post-Series A scaling priorities. Impressive execution. Let's connect.","Reference email lightly. Max 300 chars. No CTA. Formal tone to match communication style."
TrueMed,3,Email,5,476% headcount growth: hiring at that pace,"Here's what we're tracking: fintech platforms scaling 400%+ headcount struggle most with onboarding engineering talent and maintaining culture. Your Series A closed December; hiring Analytics Engineers and Product Managers now. But scaling compliance infrastructure alongside hiring is the real pressure. Can we grab 15 mins Thursday?",NEW angle: hiring velocity and culture retention (different from step 1). Include stat. Specific + time-bound CTA.
TrueMed,4,LinkedIn Comment,8,LinkedIn comment engagement,"Monitor feed for engagement opportunity—look for recent posts from TrueMed leadership about partnerships, product updates, or company milestones. Engage with relevant insight about fintech scaling.","If they post about new partnerships or integrations: ""Eight Sleep and 24 Hour Fitness onboarding in parallel must be engineering-intensive. How are you keeping compliance tight while bringing partners online that fast?"""
TrueMed,5,Email,12,Series A success trap: integrations over product,"Contrarian take: most Series A fintechs spend 6+ months on partner integrations and neglect their core product. You've got Nike, Eight Sleep, CrossFit—all amazing. But your users need deep HSA/FSA features, not just partner breadth. How are you balancing integration roadmap with core product velocity?","Pattern interrupt: contrarian angle on product vs. integrations. Different pain point (product strategy) than steps 1 and 3. Max 80 words."
TrueMed,6,Email,17,Growing together,"I've sent a few messages about post-Series A scaling challenges. If the timing isn't right now, I totally understand—you're building something massive. But once the Nike Strength integration settles, happy to chat about the next wave. No pressure at all.","Breakup email. Acknowledge previous outreach respectfully. Low-pressure CTA. Formal tone."
TrueMed,7,LinkedIn Voice Note,21,"Hey TrueMed team—congrats on the $34M Series A and Nike Strength live. Building HSA/FSA infrastructure for wellness partners at that scale is no joke. Love what you're building. If you ever want to talk about balancing partner integrations with core product strength, I'm here to help.","30-second script. Formal but warm tone. Reference the accomplishment (Series A, partnerships) and offer support without hard ask."
